feature,gene_symbol,element_subtype,drug_class,drug_subclass,known_mechanism
AMR:aac(3)-IId,aac(3)-IId,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-IIe,aac(3)-IIe,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-IIg,aac(3)-IIg,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-IVa,aac(3)-IVa,AMR,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN,True
AMR:aac(3)-Ia,aac(3)-Ia,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-Ib,aac(3)-Ib,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-VIa,aac(3)-VIa,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(6')-33,aac(6')-33,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,True
AMR:aac(6')-F309,aac(6')-F309,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-IIa,aac(6')-IIa,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-IIc,aac(6')-IIc,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ia,aac(6')-Ia,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,True
AMR:aac(6')-Ian,aac(6')-Ian,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ib,aac(6')-Ib,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ib',aac(6')-Ib',AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(6')-Ib-cr,aac(6')-Ib-cr,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,True
AMR:aac(6')-Ib-cr5,aac(6')-Ib-cr5,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,True
AMR:aac(6')-Ib3,aac(6')-Ib3,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ib4,aac(6')-Ib4,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(6')-Il,aac(6')-Il,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aacA16,aacA16,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,True
AMR:aadA1,aadA1,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA13,aadA13,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA16,aadA16,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA2,aadA2,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA22,aadA22,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA3,aadA3,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA4,aadA4,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA5,aadA5,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA8,aadA8,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:abaF,abaF,AMR,FOSFOMYCIN,FOSFOMYCIN,True
AMR:acrF,acrF,AMR,EFFLUX,EFFLUX,True
AMR:adeC,adeC,AMR,EFFLUX,EFFLUX,True
AMR:amvA,amvA,AMR,EFFLUX,EFFLUX,True
AMR:ant(2'')-Ia,ant(2'')-Ia,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,True
AMR:ant(3'')-IIa,ant(3'')-IIa,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,True
AMR:ant(9)-Ia,ant(9)-Ia,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN,True
AMR:aph(3'')-Ib,aph(3'')-Ib,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aph(3')-Ia,aph(3')-Ia,AMR,AMINOGLYCOSIDE,KANAMYCIN,True
AMR:aph(3')-Ib,aph(3')-Ib,AMR,AMINOGLYCOSIDE,KANAMYCIN,True
AMR:aph(3')-VI,aph(3')-VI,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(3')-VIa,aph(3')-VIa,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(3')-VIb,aph(3')-VIb,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(3')-XV,aph(3')-XV,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(4)-Ia,aph(4)-Ia,AMR,AMINOGLYCOSIDE,HYGROMYCIN,True
AMR:aph(6)-Id,aph(6)-Id,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aphA16,aphA16,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:armA,armA,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:arr,arr,AMR,RIFAMYCIN,RIFAMYCIN,True
AMR:arr-2,arr-2,AMR,RIFAMYCIN,RIFAMYCIN,True
AMR:arr-3,arr-3,AMR,RIFAMYCIN,RIFAMYCIN,True
AMR:blaACC-1,blaACC-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaACT-35,blaACT-35,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaADC-214,blaADC-214,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaADC-56,blaADC-56,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaADC-76,blaADC-76,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCARB-2,blaCARB-2,AMR,BETA-LACTAM,BETA-LACTAM,True
